,id,self,type_id,type_name,type_inward,type_outward,type_self,outwardIssue_id,outwardIssue_key,outwardIssue_self,outwardIssue_fields_summary,outwardIssue_fields_status_self,outwardIssue_fields_status_description,outwardIssue_fields_status_iconUrl,outwardIssue_fields_status_name,outwardIssue_fields_status_id,outwardIssue_fields_status_statusCategory_self,outwardIssue_fields_status_statusCategory_id,outwardIssue_fields_status_statusCategory_key,outwardIssue_fields_status_statusCategory_colorName,outwardIssue_fields_status_statusCategory_name,outwardIssue_fields_priority_self,outwardIssue_fields_priority_iconUrl,outwardIssue_fields_priority_name,outwardIssue_fields_priority_id,outwardIssue_fields_issuetype_self,outwardIssue_fields_issuetype_id,outwardIssue_fields_issuetype_description,outwardIssue_fields_issuetype_iconUrl,outwardIssue_fields_issuetype_name,outwardIssue_fields_issuetype_subtask,outwardIssue_fields_issuetype_avatarId,inwardIssue_id,inwardIssue_key,inwardIssue_self,inwardIssue_fields_summary,inwardIssue_fields_status_self,inwardIssue_fields_status_description,inwardIssue_fields_status_iconUrl,inwardIssue_fields_status_name,inwardIssue_fields_status_id,inwardIssue_fields_status_statusCategory_self,inwardIssue_fields_status_statusCategory_id,inwardIssue_fields_status_statusCategory_key,inwardIssue_fields_status_statusCategory_colorName,inwardIssue_fields_status_statusCategory_name,inwardIssue_fields_priority_self,inwardIssue_fields_priority_iconUrl,inwardIssue_fields_priority_name,inwardIssue_fields_priority_id,inwardIssue_fields_issuetype_self,inwardIssue_fields_issuetype_id,inwardIssue_fields_issuetype_description,inwardIssue_fields_issuetype_iconUrl,inwardIssue_fields_issuetype_name,inwardIssue_fields_issuetype_subtask,inwardIssue_fields_issuetype_avatarId
0,10012,https://monsterprajju.atlassian.net/rest/api/3/issueLink/10012,10000,Blocks,is blocked by,blocks,https://monsterprajju.atlassian.net/rest/api/3/issueLinkType/10000,10010,SR-11,https://monsterprajju.atlassian.net/rest/api/3/issue/10010,testing,https://monsterprajju.atlassian.net/rest/api/3/status/3,This issue is being actively worked on at the moment by the assignee.,https://monsterprajju.atlassian.net/images/icons/statuses/inprogress.png,In Progress,3,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/4,4.0,indeterminate,yellow,In Progress,https://monsterprajju.atlassian.net/rest/api/3/priority/3,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,Medium,3,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,10102,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,Sub-task,True,10316.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,10012,https://monsterprajju.atlassian.net/rest/api/3/issueLink/10012,10000,Blocks,is blocked by,blocks,https://monsterprajju.atlassian.net/rest/api/3/issueLinkType/10000,,,,,,,,,,,,,,,,,,,,,,,,,,10011,SR-12,https://monsterprajju.atlassian.net/rest/api/3/issue/10011,api is not authenticating ,https://monsterprajju.atlassian.net/rest/api/3/status/10000,,https://monsterprajju.atlassian.net/,To Do,10000,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,2.0,new,blue-gray,To Do,https://monsterprajju.atlassian.net/rest/api/3/priority/3,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,Medium,3,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10103,10103,A problem which impairs or prevents the functions of the product.,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10303&avatarType=issuetype,Bug,False,10303.0
